claim_id,claim_seq,policy_id,station_id,solar_system,production_load,exposure,energy_backup_score,safety_compliance,claim_amount
BI-C-0000112,1,BI-001073,B4,Epsilon,0.179,0.351,2,3,1350779.0
BI-C-0000113,1,BI-001076,A9,Epsilon,0.365,0.411,5,1,1705099.0
BI-C-0000114,1,BI-001078,A1,Helionis Cluster,0.677,0.402,3,5,612568.0
BI-C-0000115,1,BI-001107,A6,Helionis Cluster,0.182,0.687,2,5,3578115.0
BI-C-0000116,2,BI-001107,A6,Helionis Cluster,0.182,0.687,2,5,923491.0
BI-C-0000117,1,BI-001126,G4,Epsilon,0.055,0.699,3,3,801757.0
BI-C-0000118,1,BI-001138,A6,Helionis Cluster,0.572,0.493,5,3,8083910.0
BI-C-0000119,1,BI-001149,A2,Zeta,0.353,0.293,1,3,2913843.0
BI-C-0000120,1,BI-001157,G6,Epsilon,0.794,0.116,4,5,799805.0
BI-C-0000121,1,BI-001184,B9,Epsilon,0.302,0.711,2,4,3749615.0
BI-C-0000122,1,BI-001206,B1,Zeta,0.264,0.554,1,1,463318.0
BI-C-0000123,1,BI-001215,G9,Epsilon,0.855,0.44,2,3,2146676.0
BI-C-0000124,2,BI-001215,G9,Epsilon,0.855,0.44,2,3,1155420.0
BI-C-0000125,3,BI-001215,G9,Epsilon,0.855,0.44,2,3,20644889.0
BI-C-0000126,1,BI-001224,G8,Helionis Cluster,0.689,0.362,2,1,609632.0
BI-C-0000127,1,BI-001229,G5,Helionis Cluster,0.506,0.72,3,4,339406.0
BI-C-0000128,1,BI-001243,G5,Zeta,0.704,0.137,1,3,2959497.0
BI-C-0000129,1,BI-001253,G5,Epsilon,0.074,0.682,1,4,4765093.0
BI-C-0000130,2,BI-001253,G5,Epsilon,0.074,0.682,1,4,5829724.0
BI-C-0000131,3,BI-001253,G5,Epsilon,0.074,0.682,1,4,3927378.0
BI-C-0000132,4,BI-001253,G5,Epsilon,0.074,0.682,1,4,357949.0
BI-C-0000133,1,BI-001274,A4,Epsilon,0.445,0.78,3,3,3761754.0
BI-C-0000134,1,BI-001285,B8,Epsilon,0.007,0.083,2,1,7058470.0
BI-C-0000135,1,BI-001291,A5,Zeta,0.061,0.488,2,1,1691016.0
BI-C-0000136,2,BI-001291,A5,Zeta,0.061,0.488,2,1,21865563.0
BI-C-0000137,1,BI-001306,G5,Zeta,0.396,0.554,4,1,395546.0
BI-C-0000138,1,BI-001320,G1,Helionis Cluster,0.829,0.889,2,2,1356613.0
BI-C-0000139,1,BI-001324,G7,Epsilon,0.254,0.859,4,2,3025617.0
BI-C-0000140,1,BI-001393,B5,Helionis Cluster,0.165,0.144,2,4,2393899.0
BI-C-0000141,1,BI-001422,A5,Zeta,0.559,0.577,1,1,1967944.0
BI-C-0000142,1,BI-001423,G5,Epsilon,0.561,0.764,5,2,1667391.0
BI-C-0000143,2,BI-001423,G5,Epsilon,0.561,0.764,5,2,224803.0
BI-C-0000144,3,BI-001423,G5,Epsilon,0.561,0.764,5,2,2384338.0
BI-C-0000145,1,BI-001437,B6,Zeta,0.195,0.294,4,3,950208.0
BI-C-0000146,1,BI-001460,A8,Zeta,0.266,0.33,2,3,1863169.0
BI-C-0000147,2,BI-001460,A8,Zeta,0.266,0.33,2,3,11749297.0
BI-C-0000148,1,BI-001478,A3,Epsilon,0.003,0.123,2,2,2200202.0
BI-C-0000149,1,BI-001481,G3,Helionis Cluster,0.933,0.594,4,3,1754278.0
BI-C-0000150,1,BI-001483,G8,Epsilon,0.308,0.325,5,1,23887096.0
BI-C-0000151,1,BI-001492,B2,Helionis Cluster,0.4,0.707,5,5,2925749.0
BI-C-0000152,1,BI-001536,G8,Epsilon,0.523,0.487,4,5,1730788.0
BI-C-0000153,2,BI-001536,G8,Epsilon,0.523,0.487,4,5,935624.0
BI-C-0000154,3,BI-001536,G8,Epsilon,0.523,0.487,4,5,74497.0
BI-C-0000155,1,BI-001539,G1,Zeta,0.524,0.792,3,2,7979872.0
BI-C-0000156,1,BI-001540,G5,Helionis Cluster,0.549,0.769,1,1,1230954.0
BI-C-0000157,1,BI-001554,A2,Zeta,0.801,0.565,4,2,2519639.0
BI-C-0000158,1,BI-001575,B2,Zeta,0.776,0.716,2,5,6572094.0
BI-C-0000159,1,BI-001581,B6,Zeta,0.291,0.748,4,5,62857834.7838877
BI-C-0000160,1,BI-001585,A2,Zeta,0.897,0.42,2,4,712757.0
BI-C-0000161,2,BI-001585,A2,Zeta,0.897,0.42,2,4,4896510.0
BI-C-0000162,1,BI-001628,A8,Epsilon,0.354,0.237,3,5,1318043.0
BI-C-0000163,1,BI-001640,B7,Epsilon,0.904,0.195,1,4,3107104.0
BI-C-0000164,1,BI-001650,G3,Epsilon,0.754,0.678,3,2,6892163.0
BI-C-0000165,1,BI-001667,G1,Helionis Cluster,0.209,0.326,5,4,2664358.0
BI-C-0000166,2,BI-001667,G1,Helionis Cluster,0.209,0.326,5,4,1384795.0
BI-C-0000167,1,BI-001676,A5,Epsilon,0.443,0.497,3,2,955814.0
BI-C-0000168,1,BI-001677,B2,Zeta,0.465,0.301,5,4,680733.0
BI-C-0000169,1,BI-001679,B6,Epsilon,0.041,0.612,5,1,2310279.0
BI-C-0000170,2,BI-001679,B6,Epsilon,0.041,0.612,5,1,16755120.0
BI-C-0000171,1,BI-001734,B8,Zeta,0.979,0.726,4,3,686688.0
BI-C-0000172,2,BI-001734,B8,Zeta,0.979,0.726,4,3,3948881.0
BI-C-0000173,1,BI-001740,G2,Helionis Cluster,0.465,0.208,5,5,114651608.0
BI-C-0000174,1,BI-001769,B9,Epsilon,0.075,0.25,2,2,8890301.0
BI-C-0000175,1,BI-001779,G8,Zeta,0.242,0.635,2,5,1313783.0
BI-C-0000176,1,BI-001783,A2,Epsilon,0.772,0.083,2,1,1822076.0
BI-C-0000177,1,BI-001790,B3,Zeta,0.573,0.506,4,3,2022357.0
BI-C-0000178,1,BI-001793,A5,Epsilon,0.578,0.341,3,4,6171993.0
BI-C-0000179,1,BI-001797,A3,Epsilon,0.426,0.661,1,4,662900.0
BI-C-0000180,1,BI-001802,B1,Zeta,0.161,0.608,1,3,2798444.0
BI-C-0000181,1,BI-001803,A8,Zeta,0.726,0.372,2,2,1132019.0
BI-C-0000182,2,BI-001803,A8,Zeta,0.726,0.372,2,2,22216250.0
BI-C-0000183,1,BI-001816,A4,Epsilon,0.517,0.445,4,2,605666.0
BI-C-0000184,2,BI-001816,A4,Epsilon,0.517,0.445,4,2,4106121.0
BI-C-0000185,1,BI-001817,G2,Zeta,0.214,0.453,4,3,655536.0
BI-C-0000186,2,BI-001817,G2,Zeta,0.214,0.453,4,3,1180536.0
BI-C-0000187,3,BI-001817,G2,Zeta,0.214,0.453,4,3,1215584.0
BI-C-0000188,1,BI-001820,G3,Helionis Cluster,0.517,0.532,2,3,7957146.0
BI-C-0000189,2,BI-001820,G3,Helionis Cluster,0.517,0.532,2,3,1769256.0
BI-C-0000190,1,BI-001848,G7,Helionis Cluster,0.121,0.139,5,2,2208589.0
BI-C-0000191,1,BI-001857,B1,Helionis Cluster,0.559,0.307,1,2,607325.0
BI-C-0000192,2,BI-001857,B1,Helionis Cluster,0.559,0.307,1,2,2164067.0
BI-C-0000193,1,BI-001893,A7,Zeta,0.524,0.383,3,2,684812.0
BI-C-0000194,1,BI-001936,A3,Epsilon,0.31,0.899,3,2,2038931.0
BI-C-0000195,1,BI-001960,G8,Helionis Cluster,0.589,0.836,1,4,788215.0
BI-C-0000196,2,BI-001960,G8,Helionis Cluster,0.589,0.836,1,4,1493907.0
BI-C-0000197,1,BI-001998,B6,Zeta,0.908,0.413,4,2,1698091.0
BI-C-0000198,1,BI-001999,A7,Epsilon,0.455,0.923,3,5,3688519.0
BI-C-0000199,1,BI-002028,B7,Epsilon,0.155,0.311,3,2,1152593.0
BI-C-0000200,1,BI-002041,G9,Helionis Cluster,0.134,0.618,4,1,7756044.0
BI-C-0000201,1,BI-002091,B8,Helionis Cluster,0.65,0.358,1,2,1170200.0
BI-C-0000202,1,BI-002124,G8,Epsilon,0.066,0.447,2,2,515734.0
BI-C-0000203,2,BI-002124,G8,Epsilon,0.066,0.447,2,2,1853831.0
BI-C-0000204,3,BI-002124,G8,Epsilon,0.066,0.447,2,2,274493.0
BI-C-0000205,1,BI-002135,B8,Zeta,0.673,0.771,1,2,1833361.0
BI-C-0000206,2,BI-002135,B8,Zeta,0.673,0.771,1,2,1837959.0
BI-C-0000207,1,BI-002141,A1,Epsilon,0.397,0.202,1,2,10985619.0
BI-C-0000208,1,BI-002147,G7,Epsilon,0.662,0.692,2,2,11554588.0
BI-C-0000209,2,BI-002147,G7,Epsilon,0.662,0.692,2,2,9916883.0
BI-C-0000210,1,BI-002153,A5,Epsilon,0.878,0.722,4,2,101344.0
BI-C-0000211,2,BI-002153,A5,Epsilon,0.878,0.722,4,2,852788.0
BI-C-0000212,1,BI-002164,B7,Epsilon,0.834,0.725,2,2,4724065.0
BI-C-0000213,1,BI-002177,G7,Epsilon,0.958,0.734,1,5,2015965.0
BI-C-0000214,2,BI-002177,G7,Epsilon,0.958,0.734,1,5,11287395.0
BI-C-0000215,1,BI-002183,B2,Zeta,0.591,0.162,5,2,1922823.0
BI-C-0000216,1,BI-002208,B3,Helionis Cluster,0.073,0.321,3,4,1429020.0
BI-C-0000217,1,BI-002241,G8,Epsilon,0.552,0.368,1,4,2664894.0
BI-C-0000218,2,BI-002241,G8,Epsilon,0.552,0.368,1,4,10336092.0
BI-C-0000219,1,BI-002248,B1,Epsilon,0.255,0.653,1,5,10951622.0
BI-C-0000220,1,BI-002260,A7,Epsilon,0.979,0.665,2,3,11119602.0
BI-C-0000221,1,BI-002268,G3,Epsilon,0.189,0.098,1,1,8571474.0
BI-C-0000222,1,BI-002269,A7,Zeta,0.44,0.477,4,4,1555810.0
BI-C-0000223,2,BI-002269,A7,Zeta,0.44,0.477,4,4,281892.0
BI-C-0000224,3,BI-002269,A7,Zeta,0.44,0.477,4,4,4746607.0
BI-C-0000225,1,BI-002324,B5,Epsilon,0.253,0.537,5,4,18191150.0
BI-C-0000226,2,BI-002324,B5,Epsilon,0.253,0.537,5,4,1325174.0
BI-C-0000227,1,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,4407292.0
BI-C-0000228,2,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,6722623.0
BI-C-0000229,3,BI-002328,B8,Helionis Cluster,0.701,0.721,4,1,1305722.0
BI-C-0000230,1,BI-002332,B5,Zeta,0.298,0.875,1,2,1448768.0
BI-C-0000231,2,BI-002332,B5,Zeta,0.298,0.875,1,2,261582.0
BI-C-0000232,1,BI-002334,G4,Helionis Cluster,0.374,0.972,5,3,712737.0
BI-C-0000233,1,BI-002342,A2,Zeta,0.231,0.693,2,1,687702.0
BI-C-0000234,1,BI-002343,A6,Epsilon,0.364,0.733,5,5,10507973.0
BI-C-0000235,1,BI-002350,A2,Epsilon,0.367,0.85,3,1,915594.0
BI-C-0000236,1,BI-002356,G8,Epsilon,0.163,0.576,4,4,7004006.0
BI-C-0000237,1,BI-002359,B8,Epsilon,0.175,0.674,4,2,5165936.0
BI-C-0000238,1,BI-002362,G4,Epsilon,0.272,0.746,4,5,11761332.0
BI-C-0000239,2,BI-002362,G4,Epsilon,0.272,0.746,4,5,6372573.0
BI-C-0000240,1,BI-002373,B9,Epsilon,0.035,0.392,5,4,892831.0
BI-C-0000241,1,BI-002406,B1,Helionis Cluster,0.299,0.884,4,2,1406854.0
BI-C-0000242,1,BI-002413,G9,Zeta,0.686,0.605,5,4,784035.0
BI-C-0000243,2,BI-002413,G9,Zeta,0.686,0.605,5,4,32775329.0
BI-C-0000244,1,BI-002482,B4,Epsilon,0.727,0.387,5,4,2010433.0
BI-C-0000245,2,BI-002482,B4,Epsilon,0.727,0.387,5,4,2914345.0
BI-C-0000246,1,BI-002487,G5,Epsilon,0.099,0.565,5,5,870179.0
BI-C-0000247,2,BI-002487,G5,Epsilon,0.099,0.565,5,5,1624329.0
BI-C-0000248,1,BI-002504,A1,Zeta,0.86,0.61,5,3,6820042.0
BI-C-0000249,2,BI-002504,A1,Zeta,0.86,0.61,5,3,1280297.0
BI-C-0000250,1,BI-002508,G3,Epsilon,0.525,0.701,3,2,1658624.0
BI-C-0000251,1,BI-002521,B2,Zeta,0.004,0.167,2,5,586943.0
BI-C-0000252,1,BI-002526,A4,Zeta,0.802,0.74,4,4,197559.0
BI-C-0000253,1,BI-002538,B2,Epsilon,0.03,0.575,3,1,3025600.0
BI-C-0000254,1,BI-002553,B6,Helionis Cluster,0.645,0.507,4,4,959146.0
BI-C-0000255,1,BI-002559,B2,Zeta,0.635,0.426,3,4,3233380.0
BI-C-0000256,1,BI-002572,A5,Epsilon,0.76,0.328,5,5,1668790.0
BI-C-0000257,2,BI-002572,A5,Epsilon,0.76,0.328,5,5,14801029.0
BI-C-0000258,1,BI-002575,A2,Epsilon,0.057,0.554,2,5,738322.0
BI-C-0000259,1,BI-002596,A9,Helionis Cluster,0.5,0.7,2,5,1975456.0
BI-C-0000260,1,BI-002601,G2,Zeta,0.62,0.678,2,2,367917.0
BI-C-0000261,1,BI-002619,A8,Zeta,0.543,0.679,1,2,2362761.0
BI-C-0000262,1,BI-002626,A8,Helionis Cluster,0.922,0.472,1,2,1520310.0
BI-C-0000263,2,BI-002626,A8,Helionis Cluster,0.922,0.472,1,2,1126168.0
BI-C-0000264,1,BI-002654,A9,Epsilon,0.918,0.269,4,2,1020468.0
BI-C-0000265,1,BI-002665,G9,Zeta,0.175,0.528,2,1,4252083.0
BI-C-0000266,1,BI-002679,B1,Helionis Cluster,0.388,0.728,2,3,2192456.0
BI-C-0000267,1,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,3067996.0
BI-C-0000268,2,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,7444986.0
BI-C-0000269,3,BI-002687,B2,Helionis Cluster,0.364,0.503,2,4,641844.0
BI-C-0000270,1,BI-002690,A7,Zeta,0.749,0.399,5,3,700007.0
BI-C-0000271,1,BI-002691,G6,Epsilon,0.13,0.889,4,1,574023.0
BI-C-0000272,2,BI-002691,G6,Epsilon,0.13,0.889,4,1,6199090.0
BI-C-0000273,3,BI-002691,G6,Epsilon,0.13,0.889,4,1,4945776.0
BI-C-0000274,4,BI-002691,G6,Epsilon,0.13,0.889,4,1,3418404.0
BI-C-0000275,1,BI-002705,A3,Helionis Cluster,0.199,0.384,1,1,762465.0
BI-C-0000276,2,BI-002705,A3,Helionis Cluster,0.199,0.384,1,1,1935771.0
BI-C-0000277,1,BI-002709,A1,Helionis Cluster,0.146,0.265,2,5,298077.0
BI-C-0000278,2,BI-002709,A1,Helionis Cluster,0.146,0.265,2,5,354583.0
BI-C-0000279,1,BI-002715,G5,Epsilon,0.641,0.368,5,5,5578776.0
BI-C-0000280,1,BI-002755,B6,Epsilon,0.783,0.621,2,2,9256878.0
BI-C-0000281,2,BI-002755,B6,Epsilon,0.783,0.621,2,2,946935.0
BI-C-0000282,1,BI-002763,G7,Epsilon,0.997,0.482,5,2,4766336.0
BI-C-0000283,1,BI-002773,A2,Zeta,0.685,0.453,4,1,247067.0
BI-C-0006446,2,BI-002773,A2,Zeta,0.685,0.453,4,1,3972394.0
BI-C-0000284,1,BI-002781,B6,Epsilon,0.628,0.333,1,5,3431373.0
BI-C-0000285,1,BI-002808,G5,Helionis Cluster,0.176,0.284,2,3,1168250.0
BI-C-0000286,1,BI-002813,G8,Epsilon,0.639,0.66,2,5,4130433.0
BI-C-0000287,2,BI-002813,G8,Epsilon,0.639,0.66,2,5,6977250.0
BI-C-0000288,1,BI-002816,G7,Zeta,0.726,0.798,4,3,6538501.0
BI-C-0000289,1,BI-002827,G9,Zeta,0.461,0.726,2,2,834344.0
BI-C-0000290,2,BI-002827,G9,Zeta,0.461,0.726,2,2,352496.0
BI-C-0000291,1,BI-002838,G3,Helionis Cluster,0.927,0.606,3,2,1409026.0
BI-C-0000292,1,BI-002841,G7,Zeta,0.642,0.31,2,4,18232956.0
BI-C-0000293,2,BI-002841,G7,Zeta,0.642,0.31,2,4,2766044.0
BI-C-0000294,3,BI-002841,G7,Zeta,0.642,0.31,2,4,387600.0
BI-C-0000295,1,BI-002843,A7,Epsilon,0.254,0.45,3,4,3759020.0
BI-C-0000296,1,BI-002847,A1,Helionis Cluster,0.188,0.199,2,2,7261813.0
BI-C-0000297,1,BI-002848,A6,Epsilon,0.502,0.67,1,4,489099.0
BI-C-0000298,1,BI-002853,G5,Zeta,0.333,0.132,2,2,1532955.0
BI-C-0000299,1,BI-002891,G8,Epsilon,0.558,0.586,5,3,3547609.0
BI-C-0000300,1,BI-002896,G7,Epsilon,0.623,0.331,3,3,2227004.0
BI-C-0000301,1,BI-002904,G7,Zeta,0.642,0.312,3,1,5620925.0
BI-C-0000302,1,BI-002907,B8,Epsilon,0.816,0.083,5,5,2129755.0
BI-C-0000303,1,BI-002908,G5,Zeta,0.172,0.392,3,5,8878155.0
BI-C-0000304,2,BI-002908,G5,Zeta,0.172,0.392,3,5,3960768.0
BI-C-0000305,3,BI-002908,G5,Zeta,0.172,0.392,3,5,1394889.0
BI-C-0000306,1,BI-002916,B4,Helionis Cluster,0.075,0.859,2,1,1021638.0
BI-C-0000307,2,BI-002916,B4,Helionis Cluster,0.075,0.859,2,1,190690.0
BI-C-0000308,1,BI-002931,B9,Zeta,0.214,0.222,4,1,3670741.0
BI-C-0000309,1,BI-002944,B6,Zeta,0.023,0.418,4,4,7545731.0
BI-C-0000310,1,BI-002980,G3,Epsilon,0.448,0.535,5,1,3630263.0
BI-C-0000311,2,BI-002980,G3,Epsilon,0.448,0.535,5,1,2820173.0
BI-C-0000312,3,BI-002980,G3,Epsilon,0.448,0.535,5,1,5180211.0
BI-C-0000313,1,BI-002984,A9,Zeta,0.625,0.452,3,3,7950549.0
BI-C-0000314,1,BI-002985,G9,Epsilon,0.367,0.81,4,5,2608443.0
